name;nummer;beschreibung;identity
Pflegenutzung fortsetzen (Bestandssicherung);null;null;PflegeArtComposite-20130409-1423-0
Waldumbau;null;null;PflegeArtComposite-20130409-1434-1
Gelegentliche Pflegemaßnahmen (Bestandssicherung);null;null;PflegeArtComposite-20130409-1433-0
Pflegenutzung wiederaufnehmen (Bestandssicherung);null;null;PflegeArtComposite-20130409-1433-1
Zulassen von natürlicher Sukzession;null;null;PflegeArtComposite-20130409-1434-0
Entnahme von Fichten an Bachläufen und Feuchtstandorten;null;null;PflegeArtComposite-20130409-1436-1
